mm,nits
4.537108,0.2631342
4.552917,0.1277978
4.568726,0.2853393
4.584535,0.2712603
4.600343,0.1718351
4.616152,0.236728
4.631961,0.1764659
4.647769,0.2713375
4.663579,0.2399321
4.679387,0.239485
4.695196,0.1694195
4.711005,0.21061
4.726813,0.182429
4.742622,0.259041
4.758431,0.2077756
4.77424,0.1897594
4.790048,0.3345049
4.805857,0.236101
4.821666,0.2259618
4.837474,0.19832
4.853283,0.1827646
4.869092,0.2564793
4.884901,0.2283555
4.90071,0.2447075
4.916518,0.247382
4.932327,0.1980746
4.948136,0.2506984
4.963944,0.2343165
4.979753,0.2714995
4.995562,0.1612673
5.011371,0.2228095
5.027179,0.3150499
5.042988,0.2553086
5.058797,0.2142168
5.074605,0.1672125
5.090415,0.2181688
5.106223,0.2453272
5.122032,0.1767084
5.137841,0.2052685
5.153649,0.2545135
5.169458,0.2483205
5.185267,0.3150581
5.201076,0.2509133
5.216884,0.2497484
5.232693,0.2317785
5.248502,0.2343275
5.26431,0.2373585
5.280119,0.2286671
5.295928,0.214196
5.311737,0.2002361
5.327546,0.2094279
5.343354,0.2961601
5.359163,0.2475969
5.374972,0.2307016
5.39078,0.2389744
5.406589,0.2735942
5.422398,0.2230071
5.438207,0.199279
5.454015,0.2055645
5.469824,0.2593316
5.485633,0.22175
5.501441,0.2416298
5.517251,0.2383012
5.533059,0.2679693
5.548868,0.243416
5.564677,0.2351001
5.580485,0.2239968
5.596294,0.252908
5.612103,0.2501934
5.627912,0.265563
5.64372,0.2531984
5.659529,0.2676927
5.675338,0.2855606
5.691146,0.2891507
5.706955,0.2563255
5.722764,0.2976922
5.738573,0.2666526
5.754382,0.2659324
5.77019,0.2685237
5.785999,0.2746243
5.801808,0.24903
5.817616,0.3058405
5.833425,0.2387234
5.849234,0.3089324
5.865043,0.2844493
5.880851,0.2760678
5.89666,0.2742312
5.912469,0.2525738
5.928277,0.2776399
5.944087,0.2659778
5.959895,0.2562275
5.975704,0.3430001
5.991513,0.2289586
6.007321,0.280766
6.02313,0.3318006
6.038939,0.2678217
6.054748,0.3117941
6.070556,0.2390513
